state|state_abbreviation|county|fips|party|candidate|votes|fraction_votes|nueva_columna|etiqueta|FIPStxt|PCTPOVALL_2015
Alabama|AL|Autauga|1001.0|Democrat|Bernie Sanders|544.0|0.182|1|Partido Democrata|1001|12.7
Alabama|AL|Autauga|1001.0|Democrat|Hillary Clinton|2387.0|0.8|1|Partido Democrata|1001|12.7
Alabama|AL|Autauga|1001.0|Republican|Ben Carson|1764.0|0.146|1|Partido Republicano|1001|12.7
Alabama|AL|Autauga|1001.0|Republican|Donald Trump|5387.0|0.445|1|Partido Republicano|1001|12.7
Alabama|AL|Autauga|1001.0|Republican|John Kasich|421.0|0.035|1|Partido Republicano|1001|12.7
Alabama|AL|Autauga|1001.0|Republican|Marco Rubio|1785.0|0.148|1|Partido Republicano|1001|12.7
Alabama|AL|Autauga|1001.0|Republican|Ted Cruz|2482.0|0.205|1|Partido Republicano|1001|12.7
Alabama|AL|Baldwin|1003.0|Democrat|Bernie Sanders|2694.0|0.3289999999999999|1|Partido Democrata|1003|12.9
Alabama|AL|Baldwin|1003.0|Democrat|Hillary Clinton|5290.0|0.647|1|Partido Democrata|1003|12.9
Alabama|AL|Baldwin|1003.0|Republican|Ben Carson|4221.0|0.084|1|Partido Republicano|1003|12.9
Alabama|AL|Baldwin|1003.0|Republican|Donald Trump|23618.0|0.469|1|Partido Republicano|1003|12.9
Alabama|AL|Baldwin|1003.0|Republican|John Kasich|2987.0|0.059|1|Partido Republicano|1003|12.9
Alabama|AL|Baldwin|1003.0|Republican|Marco Rubio|9703.0|0.193|1|Partido Republicano|1003|12.9
Alabama|AL|Baldwin|1003.0|Republican|Ted Cruz|8571.0|0.17|1|Partido Republicano|1003|12.9
Alabama|AL|Barbour|1005.0|Democrat|Bernie Sanders|222.0|0.078|1|Partido Democrata|1005|32.0
Alabama|AL|Barbour|1005.0|Democrat|Hillary Clinton|2567.0|0.906|1|Partido Democrata|1005|32.0
Alabama|AL|Barbour|1005.0|Republican|Ben Carson|417.0|0.122|1|Partido Republicano|1005|32.0
Alabama|AL|Barbour|1005.0|Republican|Donald Trump|1710.0|0.501|1|Partido Republicano|1005|32.0
Alabama|AL|Barbour|1005.0|Republican|John Kasich|123.0|0.036|1|Partido Republicano|1005|32.0
Alabama|AL|Barbour|1005.0|Republican|Marco Rubio|498.0|0.146|1|Partido Republicano|1005|32.0
Alabama|AL|Barbour|1005.0|Republican|Ted Cruz|609.0|0.179|1|Partido Republicano|1005|32.0
Alabama|AL|Bibb|1007.0|Democrat|Bernie Sanders|246.0|0.1969999999999999|1|Partido Democrata|1007|22.2
Alabama|AL|Bibb|1007.0|Democrat|Hillary Clinton|942.0|0.755|1|Partido Democrata|1007|22.2
Alabama|AL|Bibb|1007.0|Republican|Ben Carson|393.0|0.099|1|Partido Republicano|1007|22.2
Alabama|AL|Bibb|1007.0|Republican|Donald Trump|1959.0|0.494|1|Partido Republicano|1007|22.2
Alabama|AL|Bibb|1007.0|Republican|John Kasich|84.0|0.021|1|Partido Republicano|1007|22.2
Alabama|AL|Bibb|1007.0|Republican|Marco Rubio|444.0|0.1119999999999999|1|Partido Republicano|1007|22.2
Alabama|AL|Bibb|1007.0|Republican|Ted Cruz|1011.0|0.255|1|Partido Republicano|1007|22.2
Alabama|AL|Blount|1009.0|Democrat|Bernie Sanders|395.0|0.386|1|Partido Democrata|1009|14.7
Alabama|AL|Blount|1009.0|Democrat|Hillary Clinton|564.0|0.551|1|Partido Democrata|1009|14.7
Alabama|AL|Blount|1009.0|Republican|Ben Carson|1523.0|0.1|1|Partido Republicano|1009|14.7
Alabama|AL|Blount|1009.0|Republican|Donald Trump|7390.0|0.487|1|Partido Republicano|1009|14.7
Alabama|AL|Blount|1009.0|Republican|John Kasich|337.0|0.022|1|Partido Republicano|1009|14.7
Alabama|AL|Blount|1009.0|Republican|Marco Rubio|1843.0|0.122|1|Partido Republicano|1009|14.7
Alabama|AL|Blount|1009.0|Republican|Ted Cruz|3698.0|0.244|1|Partido Republicano|1009|14.7
Alabama|AL|Bullock|1011.0|Democrat|Bernie Sanders|178.0|0.066|1|Partido Democrata|1011|39.6
Alabama|AL|Bullock|1011.0|Democrat|Hillary Clinton|2451.0|0.913|1|Partido Democrata|1011|39.6
Alabama|AL|Bullock|1011.0|Republican|Ben Carson|47.0|0.085|1|Partido Republicano|1011|39.6
Alabama|AL|Bullock|1011.0|Republican|Donald Trump|313.0|0.565|1|Partido Republicano|1011|39.6
Alabama|AL|Bullock|1011.0|Republican|John Kasich|23.0|0.042|1|Partido Republicano|1011|39.6
Alabama|AL|Bullock|1011.0|Republican|Marco Rubio|64.0|0.1159999999999999|1|Partido Republicano|1011|39.6
Alabama|AL|Bullock|1011.0|Republican|Ted Cruz|94.0|0.17|1|Partido Republicano|1011|39.6
Alabama|AL|Butler|1013.0|Democrat|Bernie Sanders|156.0|0.065|1|Partido Democrata|1013|25.8
Alabama|AL|Butler|1013.0|Democrat|Hillary Clinton|2196.0|0.921|1|Partido Democrata|1013|25.8
Alabama|AL|Butler|1013.0|Republican|Ben Carson|377.0|0.118|1|Partido Republicano|1013|25.8
Alabama|AL|Butler|1013.0|Republican|Donald Trump|1720.0|0.5379999999999999|1|Partido Republicano|1013|25.8
Alabama|AL|Butler|1013.0|Republican|John Kasich|86.0|0.027|1|Partido Republicano|1013|25.8
Alabama|AL|Butler|1013.0|Republican|Marco Rubio|427.0|0.133|1|Partido Republicano|1013|25.8
Alabama|AL|Butler|1013.0|Republican|Ted Cruz|534.0|0.1669999999999999|1|Partido Republicano|1013|25.8
Alabama|AL|Calhoun|1015.0|Democrat|Bernie Sanders|1425.0|0.218|1|Partido Democrata|1015|20.0
Alabama|AL|Calhoun|1015.0|Democrat|Hillary Clinton|5011.0|0.765|1|Partido Democrata|1015|20.0
Alabama|AL|Calhoun|1015.0|Republican|Ben Carson|2350.0|0.118|1|Partido Republicano|1015|20.0
Alabama|AL|Calhoun|1015.0|Republican|Donald Trump|8960.0|0.451|1|Partido Republicano|1015|20.0
Alabama|AL|Calhoun|1015.0|Republican|John Kasich|957.0|0.048|1|Partido Republicano|1015|20.0
Alabama|AL|Calhoun|1015.0|Republican|Marco Rubio|3251.0|0.163|1|Partido Republicano|1015|20.0
